timestamp,source,title,summary,url,vader_compound,sentiment
2024-02-06 21:42:02,yahoo_finance,Minimum car insurance requirements in all 50 U.S. states,,https://finance.yahoo.com/personal-finance/insurance/article/state-minimum-car-insurance-233457321.html,0.0,neutral
2026-04-29 16:45:29,yahoo_finance,Blue Cross Blue Shield to issue $2.67 billion settlement payments: See if you're eligible,,https://finance.yahoo.com/personal-finance/banking/article/blue-cross-blue-shield-to-issue-267-billion-settlement-payments-see-if-youre-eligible-164529666.html,0.0,neutral
2024-02-14 21:22:09,yahoo_finance,Car insurance rates are climbing. Here are 5 reasons why and 11 ways to save.,,https://finance.yahoo.com/personal-finance/insurance/article/car-insurance-increase-155452394.html,0.4939,positive
2024-01-04 17:29:32,yahoo_finance,What credit score do you need to buy a house in 2026?,,https://finance.yahoo.com/personal-finance/mortgages/article/credit-score-to-buy-a-house-214412439.html,0.3818,positive
2024-03-04 16:30:58,yahoo_finance,Better Mortgage review 2026,,https://finance.yahoo.com/personal-finance/mortgages/review/better-mortgage-review-163058019.html,0.4404,positive
2024-03-07 20:15:39,yahoo_finance,"What is a HELOC, and how does a home equity line of credit work?",,https://finance.yahoo.com/personal-finance/mortgages/article/home-equity-line-of-credit-heloc-201539345.html,0.3818,positive
2026-01-09 18:11:36,yahoo_finance,"Best travel credit cards for March 2026: Earn free flights, hotel stays, and more",,https://finance.yahoo.com/personal-finance/credit-cards/article/best-travel-rewards-credit-card-172745542.html,0.8779,positive
2026-05-06 21:37:00,yahoo_finance,"Tech, Media & Telecom Roundup: Market Talk",,https://www.wsj.com/business/tech-media-telecom-roundup-market-talk-2e71e9b8?siteid=yhoof2&yptr=yahoo,0.0,neutral
2026-05-06 21:41:01,yahoo_finance,"Chip Designer Arm Tops Estimates With March-Quarter Results, Outlook",,https://www.investors.com/news/technology/arm-stock-fiscal-q4-2026-earnings/?src=A00220&yptr=yahoo,0.5106,positive
2026-05-06 21:44:56,yahoo_finance,The best 0% APR credit cards for May 2026: Pay no interest for up to 24 months,,https://finance.yahoo.com/personal-finance/credit-cards/article/best-0-apr-credit-cards-214456977.html,0.602,positive
2026-05-06 21:49:23,yahoo_finance,CIBC Raises CF Industries (CF) Price Target on Stronger Nitrogen Pricing Outlook,,https://finance.yahoo.com/markets/stocks/articles/cibc-raises-cf-industries-cf-214923160.html,0.3818,positive
2026-05-06 21:51:28,yahoo_finance,BofA Lifts APA PT to $30 amid Updated U.S. Energy Sector Outlook,,https://finance.yahoo.com/sectors/energy/articles/bofa-lifts-apa-pt-30-215128368.html,0.2732,positive
2026-05-06 21:38:35,yahoo_finance,"Stock Market Today, May 6: Super Micro Computer Surges After Earnings Beat and Strong AI Data Center Demand",,https://finance.yahoo.com/markets/stocks/articles/stock-market-today-may-6-213835812.html,0.7717,positive
2026-05-06 21:53:28,yahoo_finance,DA Davidson Raises Caterpillar (CAT) Target Following Better-Than-Expected Quarter,,https://finance.yahoo.com/markets/stocks/articles/da-davidson-raises-caterpillar-cat-215328358.html,0.0,neutral
2026-05-06 21:56:06,yahoo_finance,KeyBanc Highlights Prepared Foods and Energy Drink Growth at Casey’s (CASY),,https://finance.yahoo.com/markets/stocks/articles/keybanc-highlights-prepared-foods-energy-215606957.html,0.6808,positive
2026-05-06 21:59:54,yahoo_finance,Seaport Research Calls Applied Materials (AMAT) Best Positioned Among Wafer Equipment Suppliers,,https://finance.yahoo.com/markets/stocks/articles/seaport-research-calls-applied-materials-215954669.html,0.6369,positive
2026-05-06 22:01:58,yahoo_finance,Power Integrations (POWI) Names Michael Balow SVP of Worldwide Sales,,https://finance.yahoo.com/markets/stocks/articles/power-integrations-powi-names-michael-220158707.html,0.0,neutral
2026-05-06 21:40:00,yahoo_finance,Financial Services Roundup: Market Talk,,https://www.wsj.com/business/financial-services-roundup-market-talk-c3b9006c?siteid=yhoof2&yptr=yahoo,0.0,neutral
2026-05-06 22:04:09,yahoo_finance,Is Corning Incorporated (GLW) One of the Best Performing Dividend Stocks So Far in 2026,,https://finance.yahoo.com/markets/stocks/articles/corning-incorporated-glw-one-best-220409749.html,0.6369,positive
2026-05-06 22:06:50,yahoo_finance,Powell Industries (POWL) – Among the 10 Best Performing Dividend Stocks So Far in 2026,,https://finance.yahoo.com/markets/stocks/articles/powell-industries-powl-among-10-220650420.html,0.6369,positive
2026-05-06 22:07:40,yahoo_finance,Soybeans Fall from Outside Pressure on Wednesday,,https://finance.yahoo.com/markets/commodities/articles/soybeans-fall-outside-pressure-wednesday-220740783.html,-0.296,negative
2026-05-06 22:07:40,yahoo_finance,Corn Closes with Midweek Losses Following Crude Weakness,,https://finance.yahoo.com/markets/commodities/articles/corn-closes-midweek-losses-following-220740465.html,-0.8481,negative
2026-05-06 21:40:55,yahoo_finance,"Stock Market Today, May 6: Markets Break New Ground on Hopes for U.S.-Iran Peace Deal",,https://finance.yahoo.com/markets/stocks/articles/stock-market-today-may-6-214055710.html,0.743,positive
2026-05-06 22:07:15,yahoo_finance,Top Thematic ETFs: Best Funds for Theme Investing in 2026,,https://finance.yahoo.com/markets/stocks/articles/top-thematic-etfs-best-funds-220715041.html,0.7184,positive
2026-05-06 22:14:43,yahoo_finance,Is Wall Street Bullish or Bearish on Moderna Stock?,,https://finance.yahoo.com/markets/stocks/articles/wall-street-bullish-bearish-moderna-221443457.html,0.0,neutral
2026-05-06 10:00:00,yahoo_finance,"Best CD rates today, May 6, 2026 (Earn up to 4% APY)",,https://finance.yahoo.com/personal-finance/banking/article/best-cd-rates-today-wednesday-may-6-2026-100000487.html,0.6369,positive
